timestamp,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop
1760723392,3402.74919 N,08407.11262 W,303.6,08,0.98,0.135,1.84,0.98
1760723393,3402.74912 N,08407.11273 W,303.7,08,0.98,0.323,1.84,0.98
1760723394,3402.74894 N,08407.11260 W,303.7,08,0.98,1.334,1.84,0.98
1760723395,3402.74911 N,08407.11245 W,303.8,08,0.98,1.450,1.84,0.98
1760723396,3402.74935 N,08407.11238 W,303.8,08,0.98,2.326,1.84,0.98
1760723397,3402.74961 N,08407.11229 W,303.8,08,0.98,2.371,1.84,0.98
1760723398,3402.74981 N,08407.11299 W,303.7,08,0.98,3.737,1.84,0.98
1760723399,3402.75007 N,08407.11364 W,303.3,08,0.98,3.704,1.84,0.98
1760723400,3402.75018 N,08407.11387 W,303.0,08,0.98,0.318,1.84,0.98
1760723401,3402.75015 N,08407.11379 W,302.7,08,0.98,0.687,1.84,0.98
1760723402,3402.75007 N,08407.11357 W,303.2,08,0.98,0.045,1.84,0.98
1760723403,3402.74984 N,08407.11341 W,303.2,08,0.98,0.925,1.84,0.98
1760723404,3402.74960 N,08407.11315 W,303.3,08,0.98,0.868,1.84,0.98
1760723405,3402.74966 N,08407.11298 W,303.3,07,1.01,0.308,1.84,0.98
1760723406,3402.75020 N,08407.11291 W,303.3,07,1.01,1.828,2.06,1.01
1760723407,3402.75081 N,08407.11350 W,303.4,07,1.01,3.754,2.06,1.01
1760723408,3402.75109 N,08407.11322 W,303.3,07,1.01,2.179,2.06,1.01
1760723409,3402.75111 N,08407.11312 W,303.4,07,1.01,1.680,2.06,1.01
1760723410,3402.75074 N,08407.11269 W,303.4,07,1.01,0.358,2.06,1.01
1760723411,3402.75060 N,08407.11283 W,303.4,07,1.01,1.119,2.06,1.01
1760723412,3402.75047 N,08407.11307 W,303.6,07,1.01,1.559,2.06,1.01
1760723413,3402.75019 N,08407.11302 W,303.7,08,0.98,1.356,2.06,1.01
1760723414,3402.75015 N,08407.11311 W,303.7,08,0.98,1.762,1.84,0.98
1760723415,3402.75010 N,08407.11292 W,303.7,08,0.98,0.992,1.84,0.98
1760723416,3402.74994 N,08407.11268 W,303.8,08,0.98,0.804,1.84,0.98
1760723417,3402.75002 N,08407.11267 W,303.9,08,0.98,0.984,1.84,0.98
1760723418,3402.75009 N,08407.11250 W,303.9,08,0.98,0.276,1.84,0.98
1760723419,3402.75012 N,08407.11231 W,304.1,08,0.98,0.370,1.84,0.98
1760723420,3402.75027 N,08407.11253 W,304.4,08,0.98,0.264,1.84,0.98
1760723421,3402.75023 N,08407.11241 W,304.5,08,0.98,0.606,1.84,0.98
1760723422,3402.75029 N,08407.11231 W,304.5,08,0.98,0.040,1.84,0.98
1760723423,3402.75021 N,08407.11219 W,304.6,08,0.98,0.201,1.84,0.98
1760723424,3402.75025 N,08407.11237 W,304.7,08,0.98,0.894,1.84,0.98
1760723425,3402.75029 N,08407.11279 W,304.7,08,0.98,1.955,1.84,0.98
1760723426,3402.75030 N,08407.11295 W,304.7,08,0.98,0.597,1.84,0.98
1760723427,3402.75043 N,08407.11298 W,304.7,08,0.98,0.630,1.84,0.98
1760723428,3402.75039 N,08407.11331 W,304.7,08,0.98,1.345,1.83,0.98
1760723429,3402.75029 N,08407.11336 W,304.7,08,0.98,0.328,1.83,0.98
1760723430,3402.75000 N,08407.11304 W,304.7,08,0.98,0.439,1.83,0.98
1760723431,3402.74965 N,08407.11277 W,304.8,08,0.98,1.348,1.83,0.98
1760723432,3402.74950 N,08407.11255 W,304.9,08,0.98,0.515,1.83,0.98
1760723433,3402.74924 N,08407.11266 W,305.0,08,0.98,0.618,1.83,0.98
1760723434,3402.74907 N,08407.11276 W,305.1,08,0.98,0.614,1.83,0.98
1760723435,3402.74896 N,08407.11281 W,305.1,08,0.98,0.489,1.83,0.98
1760723436,3402.74897 N,08407.11308 W,305.1,08,0.98,1.018,1.83,0.98
1760723437,3402.74935 N,08407.11321 W,305.2,08,0.98,1.418,1.83,0.98
1760723438,3402.74954 N,08407.11318 W,305.3,08,0.98,0.474,1.83,0.98
1760723439,3402.74966 N,08407.11338 W,305.4,08,0.98,0.779,1.83,0.98
1760723440,3402.74972 N,08407.11346 W,305.4,08,0.98,0.321,1.83,0.98
1760723441,3402.74981 N,08407.11359 W,305.4,08,0.98,0.468,1.83,0.98
1760723442,3402.74987 N,08407.11354 W,305.4,08,0.98,0.150,1.83,0.98
1760723443,3402.75019 N,08407.11366 W,305.4,08,0.98,0.664,1.83,0.98
1760723444,3402.75036 N,08407.11385 W,305.4,08,0.98,0.725,1.83,0.98
1760723445,3402.75058 N,08407.11378 W,305.4,08,0.98,0.103,1.83,0.98
1760723446,3402.75111 N,08407.11369 W,305.4,08,0.98,1.573,1.83,0.98
1760723447,3402.75131 N,08407.11373 W,305.5,07,1.01,0.867,1.83,0.98
1760723448,3402.75140 N,08407.11389 W,305.5,07,1.01,0.383,2.05,1.01
1760723449,3402.75147 N,08407.11395 W,305.6,08,0.98,0.222,2.05,1.01
1760723450,3402.75156 N,08407.11400 W,305.7,08,0.98,0.103,1.83,0.98
1760723451,3402.75166 N,08407.11403 W,305.7,08,0.98,0.419,1.83,0.98
1760723452,3402.75182 N,08407.11391 W,305.8,08,0.98,0.347,1.83,0.98
1760723453,3402.75205 N,08407.11390 W,305.8,08,0.98,0.430,1.83,0.98
1760723454,3402.75235 N,08407.11380 W,305.8,08,0.98,1.012,1.83,0.98
1760723455,3402.75261 N,08407.11369 W,305.9,08,0.98,0.811,1.83,0.98
1760723456,3402.75289 N,08407.11369 W,305.9,08,0.98,0.727,1.83,0.98
1760723457,3402.75314 N,08407.11391 W,306.0,08,0.98,0.890,1.83,0.98
1760723458,3402.75329 N,08407.11392 W,306.0,08,0.98,0.539,1.83,0.98
1760723459,3402.75316 N,08407.11392 W,306.1,08,0.98,0.159,1.83,0.98
1760723460,3402.75305 N,08407.11367 W,306.1,08,0.98,0.113,1.83,0.98
1760723461,3402.75319 N,08407.11387 W,306.2,08,0.98,0.870,1.83,0.98
1760723462,3402.75304 N,08407.11386 W,306.3,08,0.98,0.183,1.83,0.98
1760723463,3402.75301 N,08407.11400 W,306.4,08,0.98,0.458,1.83,0.98
1760723464,3402.75302 N,08407.11415 W,306.4,08,0.98,0.305,1.83,0.98
1760723465,3402.75301 N,08407.11418 W,306.5,08,0.98,0.237,1.83,0.98
1760723466,3402.75297 N,08407.11422 W,306.6,08,0.98,0.261,1.83,0.98
1760723467,3402.75290 N,08407.11423 W,306.6,08,0.98,0.186,1.83,0.98
1760723468,3402.75289 N,08407.11436 W,306.8,08,0.98,0.512,1.83,0.98
1760723469,3402.75277 N,08407.11442 W,306.9,08,0.98,0.048,1.83,0.98
1760723470,3402.75265 N,08407.11447 W,307.0,08,0.98,0.038,1.83,0.98
1760723471,3402.75234 N,08407.11436 W,307.1,08,0.98,0.184,1.83,0.98
1760723472,3402.75207 N,08407.11397 W,307.2,08,0.98,0.815,1.83,0.98
1760723473,3402.75184 N,08407.11380 W,307.2,08,0.98,0.619,1.83,0.98
1760723474,3402.75174 N,08407.11385 W,307.3,08,0.98,0.295,1.83,0.98
1760723475,3402.75189 N,08407.11390 W,307.4,08,0.98,0.378,1.83,0.98
1760723476,3402.75154 N,08407.11384 W,307.4,08,0.98,1.056,1.83,0.98
1760723477,3402.75149 N,08407.11380 W,307.5,08,0.98,0.227,1.83,0.98
1760723478,3402.75143 N,08407.11365 W,307.5,08,0.98,0.387,1.83,0.98
1760723479,3402.75152 N,08407.11354 W,307.6,08,0.98,0.121,1.83,0.98
1760723480,3402.75170 N,08407.11347 W,307.7,08,0.98,0.326,1.83,0.98
1760723481,3402.75174 N,08407.11345 W,307.7,08,0.98,0.149,1.83,0.98
1760723482,3402.75166 N,08407.11343 W,307.7,08,0.98,0.121,1.83,0.98
1760723483,3402.75145 N,08407.11338 W,307.8,08,0.98,0.213,1.83,0.98
1760723484,3402.75123 N,08407.11331 W,307.8,08,0.98,0.297,1.83,0.98
1760723485,3402.75095 N,08407.11312 W,307.9,08,0.98,0.162,1.82,0.98
1760723486,3402.75081 N,08407.11291 W,307.9,08,0.98,0.134,1.82,0.98
1760723487,3402.75081 N,08407.11276 W,307.9,08,0.98,0.124,1.82,0.98
1760723488,3402.75065 N,08407.11278 W,307.9,08,0.98,0.138,1.82,0.98
1760723489,3402.75080 N,08407.11281 W,307.9,08,0.98,0.459,1.82,0.98
1760723490,3402.75080 N,08407.11278 W,308.0,08,0.98,0.212,1.82,0.98
1760723491,3402.75081 N,08407.11273 W,308.0,08,0.98,0.285,1.82,0.98
1760723492,3402.75085 N,08407.11274 W,308.0,08,0.98,0.227,1.82,0.98
1760723493,3402.75085 N,08407.11267 W,308.1,08,0.98,0.141,1.82,0.98
1760723494,3402.75090 N,08407.11263 W,308.2,08,0.98,0.293,1.82,0.98
1760723495,3402.75093 N,08407.11266 W,308.2,08,0.98,0.137,1.82,0.98
1760723496,3402.75099 N,08407.11273 W,308.3,08,0.98,0.143,1.82,0.98
1760723497,3402.75099 N,08407.11284 W,308.3,08,0.98,0.130,1.82,0.98
1760723498,3402.75103 N,08407.11284 W,308.4,08,0.98,0.183,1.82,0.98
1760723499,3402.75104 N,08407.11284 W,308.5,08,0.98,0.110,1.82,0.98
1760723500,3402.75078 N,08407.11287 W,308.6,08,0.98,0.137,1.82,0.98
1760723501,3402.75071 N,08407.11286 W,308.8,08,0.98,0.057,1.82,0.98
1760723502,3402.75067 N,08407.11306 W,308.9,08,0.98,0.656,1.82,0.98
1760723503,3402.75065 N,08407.11318 W,309.1,07,1.01,0.177,1.82,0.98
1760723504,3402.75078 N,08407.11332 W,309.2,07,1.01,0.243,2.03,1.01
1760723505,3402.75075 N,08407.11334 W,309.4,08,0.98,0.467,2.03,1.01
1760723506,3402.75067 N,08407.11333 W,309.5,08,0.98,0.435,1.82,0.98
1760723507,3402.75061 N,08407.11344 W,309.6,08,0.98,0.253,1.82,0.98
1760723508,3402.75055 N,08407.11353 W,309.7,08,0.98,0.285,1.82,0.98
1760723509,3402.75048 N,08407.11347 W,309.9,08,0.98,0.523,1.82,0.98
1760723510,3402.75038 N,08407.11334 W,310.0,08,0.98,0.764,1.82,0.98
